V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q42,Q3,Q103,35p.u_35r.u_b,35p.u_30r.u_b,35p.u_25r.u_b,35p.u_20r.u_b,35p.u_15r.u_b,35p.u_10r.u_b,35p.u_05r.u_b,30p.u_35r.u_b,30p.u_30r.u_b,30p.u_25r.u_b,30p.u_20r.u_b,30p.u_15r.u_b,30p.u_10r.u_b,30p.u_05r.u_b,25p.u_35r.u_b,25p.u_30r.u_b,25p.u_25r.u_b,25p.u_20r.u_b,25p.u_15r.u_b,25p.u_10r.u_b,25p.u_05r.u_b,20p.u_35r.u_b,20p.u_30r.u_b,20p.u_25r.u_b,20p.u_20r.u_b,20p.u_15r.u_b,20p.u_10r.u_b,20p.u_05r.u_b,15p.u_35r.u_b,15p.u_30r.u_b,15p.u_25r.u_b,15p.u_20r.u_b,15p.u_15r.u_b,15p.u_10r.u_b,15p.u_05r.u_b,10p.u_35r.u_b,10p.u_30r.u_b,10p.u_25r.u_b,10p.u_20r.u_b,10p.u_15r.u_b,10p.u_10r.u_b,10p.u_05r.u_b,05p.u_35r.u_b,05p.u_30r.u_b,05p.u_25r.u_b,05p.u_20r.u_b,05p.u_15r.u_b,05p.u_10r.u_b,05p.u_05r.u_b,35p.u_35r.d_b,35p.u_30r.d_b,35p.u_25r.d_b,35p.u_20r.d_b,35p.u_15r.d_b,35p.u_10r.d_b,35p.u_05r.d_b,30p.u_35r.d_b,30p.u_30r.d_b,30p.u_25r.d_b,30p.u_20r.d_b,30p.u_15r.d_b,30p.u_10r.d_b,30p.u_05r.d_b,25p.u_35r.d_b,25p.u_30r.d_b,25p.u_25r.d_b,25p.u_20r.d_b,25p.u_15r.d_b,25p.u_10r.d_b,25p.u_05r.d_b,20p.u_35r.d_b,20p.u_30r.d_b,20p.u_25r.d_b,20p.u_20r.d_b,20p.u_15r.d_b,20p.u_10r.d_b,20p.u_05r.d_b,15p.u_35r.d_b,15p.u_30r.d_b,15p.u_25r.d_b,15p.u_20r.d_b,15p.u_15r.d_b,15p.u_10r.d_b,15p.u_05r.d_b,10p.u_35r.d_b,10p.u_30r.d_b,10p.u_25r.d_b,10p.u_20r.d_b,10p.u_15r.d_b,10p.u_10r.d_b,10p.u_05r.d_b,05p.u_35r.d_b,05p.u_30r.d_b,05p.u_25r.d_b,05p.u_20r.d_b,05p.u_15r.d_b,05p.u_10r.d_b,05p.u_05r.d_b,p.nc_35r.d_b,p.nc_30r.d_b,p.nc_25r.d_b,p.nc_20r.d_b,p.nc_15r.d_b,p.nc_10r.d_b,p.nc_05r.d_b,p.nc_35r.u_b,p.nc_30r.u_b,p.nc_25r.u_b,p.nc_20r.u_b,p.nc_15r.u_b,p.nc_10r.u_b,p.nc_05r.u_b,35p.u_r.nc_b,30p.u_r.nc_b,25p.u_r.nc_b,20p.u_r.nc_b,15p.u_r.nc_b,10p.u_r.nc_b,05p.u_r.nc_b,reg_dem,who_vote,who_vote_other,fav_biden,fav_bernie,fav_warren,fav_bloomberg,fav_gabbard,fav_klobuchar,fav_buttigieg,Q53,stim_divide_ppl,stim_divide_corp,school_close,UBI,consid_econ,medicare,stud_debt,trump_overall,trump_covid,emp1,emp2,poor_anger,poor_disgust,poor_comp,poor_envy,rich_anger,rich_disgust,rich_comp,rich_envy,open_why_vote,Q256,sdo1,sdo2,sdo3,sdo4,sdo5,sdo6,attn,sdo7,sdo8,sdo9,sdo10,sdo11,sdo12,sdo13,sdo14,sdo15,sdo16,gender,age,ethnicity,income,ideology,soc_iss,econ_iss,partyid,partyid_force,strong_dem,strong_rep,Q63,Q65,ses_ladder
R_1ClsiGONQLGPSzZ,Default Response Set,Anonymous,,,45.4.196.53,0,2020-03-26 19:46,2020-03-26 20:06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,5,,4,3,5,7,6,5,5,1,75,25,2,1,1,2,2,27,26,4,3,53,52,53,52,21,20,21,21,yes,1,6,5,6,6,5,6,5,4,6,5,5,6,3,4,5,3,5,1,62,1,4,6,6,6,3,,,6,1,1,4
R_Z34ZQJ36EN4wwMN,Default Response Set,Anonymous,,,73.167.18.130,0,2020-03-26 19:49,2020-03-26 20:07,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,8,,1,4,2,2,3,3,2,1,90,10,2,2,1,2,1,28,28,3,3,50,50,54,50,19,19,18,22,From my experience poor or average income people contribute more to society overall than the rich.  So I thought it would be better to give them larger percentage increases as they would be more likely to contribute to the economy.  I however did not agree that rich should get less or more if poor didn't get more in return.,1,1,1,1,1,7,7,2,7,7,1,1,1,1,7,7,7,7,1,39,1,5,4,5,5,2,2,,2,1,1,6
R_3huqheSUgFJ6XCI,Default Response Set,Anonymous,,,198.228.80.152,0,2020-03-26 19:45,2020-03-26 20:07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,,4,5,3,4,,5,3,1,50,50,2,2,1,1,1,27,25,3,4,50,51,51,50,18,19,18,19,no,1,4,5,6,5,4,5,2,4,3,4,5,5,4,5,6,5,5,1,65,1,5,6,6,5,1,,48,,1,1,3
R_26bs2VmTU0s4EwH,Default Response Set,Anonymous,,,45.16.110.152,0,2020-03-26 19:43,2020-03-26 20:08,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,2,,3,6,1,2,2,2,2,1,50,50,2,2,1,2,2,24,23,5,5,53,53,54,50,20,20,22,18,"i voted Yes for the policies which would benefit the poor class better, in my opinion. every answer i tried to support the poor class as much as possible. / ",1,2,2,4,3,7,7,2,7,4,1,1,1,1,7,7,7,7,2,29,1,8,4,4,4,2,1,46,,1,1,6
R_pMndissKSMlyoq5,Default Response Set,Anonymous,,,68.63.27.241,0,2020-03-26 19:56,2020-03-26 20:09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,4,1,1,2,1,1,3,1,50,50,2,1,2,2,2,26,25,3,4,50,50,53,50,19,19,18,18,As long as there was an opportunity to increase wealth for the poor I said yes. Only when there was no help for the poor and it effected the rich in neg. way did I vote no.,1,2,2,2,2,5,7,2,7,6,2,5,3,3,6,5,6,5,1,46,1,3,6,3,3,1,,47,,1,1,8
R_2PdsxA2HJb1sMsU,Default Response Set,Anonymous,,,108.90.128.150,0,2020-03-26 19:45,2020-03-26 20:11,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,2,6,,7,5,3,5,5,7,5,1,50,50,2,1,2,2,2,28,27,4,5,54,53,53,53,21,21,22,22,yes,1,6,6,7,7,7,7,2,7,6,7,7,7,7,7,7,7,7,1,31,2,7,6,6,5,1,,48,,1,1,2
R_ZJjVNr0uBEnseuB,Default Response Set,Anonymous,,,165.231.210.30,0,2020-03-26 19:50,2020-03-26 20:13,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,2,,4,6,4,5,4,5,5,1,60,40,2,1,1,1,,28,26,3,4,51,51,51,52,19,19,19,20,i was just wishing the next president does better,1,6,5,6,6,4,5,5,6,6,5,4,3,5,5,6,3,6,1,25,2,9,2,2,2,1,,49,,1,1,3
R_3hgevEYJiKQuSUT,Default Response Set,Anonymous,,,73.195.111.201,0,2020-03-26 20:03,2020-03-26 20:14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,8,1,1,1,1,2,2,1,1,70,30,4,1,1,1,1,29,27,5,5,50,50,53,50,18,18,19,20,"I was mainly concerned about making sure the poor had an increase, but if the decrease from the rich was too high then I voted no.",1,5,5,6,5,4,6,2,6,7,5,4,3,5,3,4,5,3,2,30,1,5,6,5,7,3,,,5,1,1,6
R_aaWaBb06Ml9PlUR,Default Response Set,Anonymous,,,71.105.216.114,0,2020-03-26 19:44,2020-03-26 20:15,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,5,,5,5,4,4,6,5,4,1,50,50,2,1,2,2,1,28,28,4,3,52,53,52,53,20,21,20,21,Yes,1,5,4,5,6,5,6,2,6,5,4,5,6,5,4,6,5,6,2,25,1,9,6,6,4,3,,,6,1,1,3
R_1DzEOUI7gDN4lOm,Default Response Set,Anonymous,,,107.15.174.79,0,2020-03-26 19:50,2020-03-26 20:16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,5,,4,5,7,2,4,5,4,1,65,35,2,1,1,2,2,23,22,5,5,50,50,54,50,19,20,18,18,I was mostly just considering the benefit to the poor and ignoring the rich unless it was too insane. I don't want the wage gap to grow even more but if it brings the poor more money I might be for it with more information of course.,1,1,1,1,1,7,7,2,7,7,1,1,1,1,7,7,7,7,1,30,1,9,1,1,1,1,,49,,1,1,7
R_1rNRLWLwYzhWEzI,Default Response Set,Anonymous,,,70.237.77.146,0,2020-03-26 19:47,2020-03-26 20:17,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,5,,4,7,7,2,5,2,1,1,85,15,2,2,1,2,2,23,22,5,5,50,50,54,50,19,19,22,19,Trying to even the gap between rich and poor. I made several early mistakes but maintained consistency for most,1,1,1,1,1,7,7,2,7,7,1,1,1,1,7,7,7,7,1,36,1,12,1,1,1,1,,49,,1,1,6
R_3FV6R8BZWfpz0Z2,Default Response Set,Anonymous,,,74.193.204.71,0,2020-03-26 20:04,2020-03-26 20:18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,,7,7,5,6,5,6,4,1,60,40,2,2,1,,2,28,28,4,5,53,52,54,53,21,22,20,21,yes,1,5,7,5,7,6,5,2,6,5,7,5,7,6,4,7,5,6,2,52,1,2,7,6,7,3,,,6,1,1,4
R_3HtCukyCpTBAvBk,Default Response Set,Anonymous,,,207.188.178.25,0,2020-03-26 20:03,2020-03-26 20:19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,6,5,4,4,4,4,4,1,50,50,2,2,2,2,2,28,27,4,4,53,52,52,52,19,20,20,20,,1,5,5,5,5,6,5,2,4,5,5,4,5,5,4,5,5,5,1,28,1,7,7,7,6,1,,47,,1,1,4
R_1C6ZVVRPTEu5yyV,Default Response Set,Anonymous,,,97.81.254.47,0,2020-03-26 20:11,2020-03-26 20:22,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,5,,5,6,5,5,6,6,6,1,50,50,2,1,1,1,2,28,28,4,5,53,54,53,54,21,21,22,22,yes,1,6,7,6,7,6,7,2,6,7,6,7,6,7,6,7,6,7,1,28,1,1,6,6,6,3,,,6,1,1,1
R_1CCtwcKtpkWAab8,Default Response Set,Anonymous,,,96.73.70.50,0,2020-03-26 20:11,2020-03-26 20:26,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,5,,7,4,6,6,7,5,5,1,50,50,4,2,1,2,1,28,28,4,5,52,51,52,53,20,21,20,20,YES,1,6,5,6,7,5,6,2,6,7,5,6,7,5,4,6,7,5,1,28,1,2,6,6,5,3,,,6,1,1,2
R_zSu1vG19Qtl9GRb,Default Response Set,Anonymous,,,107.2.28.198,0,2020-03-26 19:43,2020-03-26 20:26,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,,5,7,7,5,4,4,7,1,80,20,2,1,2,2,2,24,23,4,4,50,50,53,50,19,19,18,22,I was more favorable toward the policy if it increased the percentage of the poor and decreased somewhat for the rich.  I didn't support it if there was a decrease for the rich and no change for the poor.  I also didn't support it if there was an increase for the poor and an even more significant increase for the rich.,1,1,1,1,1,7,7,2,6,7,1,1,1,1,6,6,7,7,2,38,1,7,2,2,3,1,,48,,1,1,5
R_XEOh5xV5GFbAvap,Default Response Set,Anonymous,,,207.188.177.162,0,2020-03-26 20:20,2020-03-26 20:27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,,6,4,5,5,5,5,4,1,50,50,,2,2,2,2,27,26,3,4,52,51,51,51,19,20,20,20,,1,4,5,5,5,5,5,2,5,5,5,5,3,5,4,5,5,5,1,28,1,7,6,6,6,3,,,6,1,1,4
R_3hnFgDpHCSRCIeT,Default Response Set,Anonymous,,,67.8.193.168,0,2020-03-26 19:57,2020-03-26 20:28,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,,6,5,3,3,3,3,3,1,80,20,2,2,2,2,2,27,27,4,4,50,50,53,52,19,18,19,19,Which would be the best decision to make,1,6,2,2,1,6,7,7,6,6,2,2,6,2,6,6,6,6,2,50,1,5,2,2,2,1,,49,,1,1,6
R_3lANrmldb5pPvbm,Default Response Set,Anonymous,,,98.26.224.159,0,2020-03-26 20:18,2020-03-26 20:28,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,,3,7,2,2,2,2,2,1,99,1,2,2,1,2,2,24,25,2,2,50,50,53,50,18,18,18,21,I was considering the affects it would have on the economy if both the rich and poor gained money.,1,1,1,1,1,7,7,2,7,7,1,1,1,1,7,7,7,7,1,29,1,1,2,2,2,1,,47,,1,1,8
R_10rvQkgm2Eh1SLq,Default Response Set,Anonymous,,,69.242.2.8,0,2020-03-26 20:01,2020-03-26 20:29,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,,6,6,6,5,6,6,5,1,50,50,2,2,1,2,2,28,28,4,5,53,53,54,54,21,21,22,22,yes,1,7,5,7,7,7,7,2,6,7,7,7,7,6,7,5,6,6,1,31,2,8,6,7,6,1,,48,,1,1,3
R_3Mya77nMJs5eI3s,Default Response Set,Anonymous,,,104.48.32.177,0,2020-03-26 20:08,2020-03-26 20:30,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,8,7,3,2,2,3,3,2,4,1,77,23,2,1,1,1,1,28,27,3,3,51,50,52,50,19,19,18,21,"i was thinking about why we would do it. ex. why would we increase the wealthy more then the poor. I also was thinking if you decrease the wealthy too much they would go to places outside of our country so they would not have to pay, which would tear apart out economy ",1,3,5,6,4,5,5,2,7,5,5,3,5,6,7,5,7,5,1,35,1,10,6,4,7,3,,,6,1,1,4
R_1lgbe8klQnjwMay,Default Response Set,Anonymous,,,184.23.194.28,0,2020-03-26 20:06,2020-03-26 20:33,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,5,,6,5,5,6,5,4,3,1,60,40,2,1,2,2,1,27,27,4,3,53,52,53,52,20,21,21,20,i don't like based the polices services,1,6,5,6,4,6,5,2,6,5,3,5,6,5,4,5,6,5,1,32,1,3,3,4,2,2,1,48,,1,1,4
R_2OUf9HKhBEKYS4Y,Default Response Set,Anonymous,,,107.148.226.138,0,2020-03-26 19:50,2020-03-26 20:33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,3,,5,5,6,5,4,6,6,1,50,50,4,2,1,2,2,28,28,5,4,54,53,54,53,22,21,22,21,yes,1,7,6,7,6,7,6,2,6,7,6,7,6,7,6,7,6,7,2,32,1,5,6,7,6,1,,48,,1,1,2
R_2QPRQ2z3IzCLngs,Default Response Set,Anonymous,,,68.106.254.178,0,2020-03-26 20:08,2020-03-26 20:34,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,6,7,2,6,2,2,2,1,100,0,4,1,1,2,2,28,28,5,4,50,50,51,50,18,18,18,20,I think if one should gain then both should gain. Not one gain and not the other.,1,5,5,5,5,3,3,2,3,7,7,5,7,7,5,1,5,5,2,53,1,3,5,5,5,1,,46,,1,1,7
R_1NyVYceA9EvznTe,Default Response Set,Anonymous,,,47.186.250.225,0,2020-03-26 19:55,2020-03-26 20:34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,7,7,6,5,4,4,6,1,60,40,2,2,1,2,2,28,28,4,,53,54,52,54,22,20,22,21,yes,1,6,7,5,6,4,7,2,6,5,7,5,6,7,5,7,6,7,2,28,1,2,7,6,7,3,,,6,1,1,4
R_d52aqubGNO4fWUN,Default Response Set,Anonymous,,,172.114.62.104,0,2020-03-26 20:16,2020-03-26 20:36,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,6,6,5,2,4,3,3,1,70,30,2,2,1,2,2,23,22,4,4,50,50,53,50,20,19,19,19,I was thinking if it was fair and beneficial to poor people.,1,2,2,2,1,6,6,2,7,7,1,1,1,1,7,7,7,7,2,43,1,3,2,2,2,1,,48,,1,1,8
